scenario,mix_name,case_key,weight,total_return_contribution_pct,trades,avg_trade_return_pct,win_rate,max_drawdown_pct
2020_covid_crash,core_mix,combo_current__pullback2__margin_le20,0.5,0.0,0,,,0.0
2020_covid_crash,core_mix,combo_current__ma5__margin_le20,0.25,0.0,0,,,0.0
2020_covid_crash,core_mix,combo_current__rsi70__margin_le5,0.15,0.0,0,,,0.0
2020_covid_crash,core_mix,combo_current__fixed10,0.1,0.9099,179,0.9453,36.87,-5.2688
2020_covid_crash,pullback2_only,combo_current__pullback2__margin_le20,1.0,0.0,0,,,0.0
2020_covid_crash,defensive_mix,combo_current__pullback2__margin_le20,0.4,0.0,0,,,0.0
2020_covid_crash,defensive_mix,combo_current__rsi70__margin_le5,0.3,0.0,0,,,0.0
2020_covid_crash,defensive_mix,combo_current__fixed10,0.2,1.8198,179,0.9453,36.87,-5.2688
2020_covid_crash,defensive_mix,combo_current__ma5__margin_le20,0.1,0.0,0,,,0.0
2020_covid_crash,bull_mix,combo_current__ma5__margin_le20,0.4,0.0,0,,,0.0
2020_covid_crash,bull_mix,combo_current__pullback2__margin_le20,0.4,0.0,0,,,0.0
2020_covid_crash,bull_mix,combo_current__rsi70__margin_le5,0.1,0.0,0,,,0.0
2020_covid_crash,bull_mix,combo_current__fixed10,0.1,0.9099,179,0.9453,36.87,-5.2688
2022_rate_hike_bear,core_mix,combo_current__pullback2__margin_le20,0.5,0.0,0,,,0.0
2022_rate_hike_bear,core_mix,combo_current__ma5__margin_le20,0.25,0.0,0,,,0.0
2022_rate_hike_bear,core_mix,combo_current__rsi70__margin_le5,0.15,0.0,0,,,0.0
2022_rate_hike_bear,core_mix,combo_current__fixed10,0.1,0.3147,834,0.6407,38.01,-11.0176
2022_rate_hike_bear,pullback2_only,combo_current__pullback2__margin_le20,1.0,0.0,0,,,0.0
2022_rate_hike_bear,defensive_mix,combo_current__pullback2__margin_le20,0.4,0.0,0,,,0.0
2022_rate_hike_bear,defensive_mix,combo_current__rsi70__margin_le5,0.3,0.0,0,,,0.0
2022_rate_hike_bear,defensive_mix,combo_current__fixed10,0.2,0.6295,834,0.6407,38.01,-11.0176
2022_rate_hike_bear,defensive_mix,combo_current__ma5__margin_le20,0.1,0.0,0,,,0.0
2022_rate_hike_bear,bull_mix,combo_current__ma5__margin_le20,0.4,0.0,0,,,0.0
2022_rate_hike_bear,bull_mix,combo_current__pullback2__margin_le20,0.4,0.0,0,,,0.0
2022_rate_hike_bear,bull_mix,combo_current__rsi70__margin_le5,0.1,0.0,0,,,0.0
2022_rate_hike_bear,bull_mix,combo_current__fixed10,0.1,0.3147,834,0.6407,38.01,-11.0176
